id,short_name,name,legal_address,legal_inn,legal_kpp,legal_ogrn,region,branch
15,ВА ВПВО,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Войсковой Противовоздушной Обороны Вооруженных Сил Российской Федерации Имени Маршала Советского Союза А.М.Василевского» министерства обороны российской федерации,"214027, Смоленская область, г Смоленск, ул Котовского, д 2",6729006918,672901001,1026701445451,34,Нет
16,«Международный Институт Дизайна и Сервиса»,Частное образовательное учреждение высшего образования «Международный Институт Дизайна И Сервиса»,"454014, Челябинская область, г Челябинск, Курчатовский р-н, ул Ворошилова, д 12",7447003558,744801001,1027402323080,19,Нет
17,ЧОУ ВО «Европейский Институт Юсто (Справедливость)»,Частное образовательное учреждение высшего образования (высшее учебное заведение) «Европейский Институт Юсто (справедливость)»,"117449, Г.МОСКВА, УЛ БОЛЬШАЯ ЧЕРЁМУШКИНСКАЯ, Д. 2, К. 6, ПОМЕЩ. V ЭТ. 1 ПОМ. V КОМ. 9А",7706101758,772701001,1027739267819,14,Нет
18,ФГБОУ ВО «СГЮА»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовская Государственная Юридическая Академия»,"410056, Саратовская область, г Саратов, Октябрьский р-н, ул им Чернышевского Н.Г., д 104 стр 3",6454006276,645401001,1026403348069,73,Нет
19,ФГБОУ ВО «ИГЭУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский Государственный Энергетический Университет Имени В.И. Ленина»,"153003, Ивановская область, г Иваново, ул Рабфаковская, д 34",3731000308,370201001,1033700074430,51,Нет
20,ФГБОУ ВО «Рязанский Государственный Радиотехнический Университет им. В.Ф. Уткина»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский Государственный Радиотехнический Университет Имени В.Ф. Уткина»,"390005, Рязанская область, г Рязань, ул Гагарина, д 59/1",6230000655,623001001,1026201104478,31,Нет
21,ФГБОУ ВО ПГФА Минздрава России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Пермская Государственная Фармацевтическая Академия» министерства здравоохранения российской федерации,"614000, Пермский край, г Пермь, Ленинский р-н, ул Екатерининская, д 101",5902291011,590201001,1025900536760,63,Нет
22,ФГБОУ ВО РязГМУ Минздрава России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский Государственный Медицинский Университет Имени Академика И.П. Павлова» министерства здравоохранения российской федерации,"390026, Рязанская область, г Рязань, ул Высоковольтная, д 9",6228013199,623401001,1036212013408,31,Нет
23,ЧОУ ВО «Дагестанский Теологический Институт им. Саида Афанди»,Частное образовательное учреждение высшего образования «Дагестанский Теологический Институт Имени Саида Афанди»,"368219, Республика Дагестан, Буйнакский р-н, село Чиркей, ул Имама Шамиля, д 32",0507021079,050701001,1030500714144,16,Нет
24,Спви Войск Национальной Гвардии,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Ордена Жукова Академия Войск Национальной Гвардии Российской Федерации»,"198206, г Санкт-Петербург, Красносельский р-н, ул Лётчика Пилютова, д 1",7807038333,780701001,1037819005047,66,Нет
25,Академия ФСБ России,Федеральное государственное казенное образовательное учреждение высшего образования «Академия Федеральной Службы Безопасности Российской Федерации»,"119602, г Москва, Очаково-Матвеевское р-н, Мичуринский пр-кт, д 70",7729272615,772901001,1037700137441,14,Нет
26,,Духовная образовательная религиозная организация высшего образования «Дагестанский Исламский Университет Имени Шейха Мухаммад-арифа»,"367000, Республика Дагестан, г Махачкала, Советский р-н, ул Дахадаева, д 136",0562059549,057201001,1050500000286,16,Нет
27,ФГБОУ ВО Волгоградский ГАУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский Государственный Аграрный Университет»,"400002, Волгоградская область, г Волгоград, Советский р-н, Университетский пр-кт, д 26",3446501024,344601001,1023404239583,76,Нет
28,ФГКОУ ИБО ФСБ России,Федеральное государственное казенное образовательное учреждение высшего образования «Институт Береговой Охраны Федеральной Службы Безопасности Российской Федерации»,"353440, Краснодарский край, Анапский р-н, г Анапа, ул Трудящихся, д 2В",2301064107,230101001,1072301003554,25,Нет
29,ГБОУ ВО «Юургии им. П.И. Чайковского»,Государственное бюджетное образовательное учреждение высшего образования «Южно-уральский Государственный Институт Искусств Имени П.И. Чайковского»,"454091, Челябинская область, г Челябинск, Советский р-н, ул Плеханова, д 41",7451035369,745101001,1027402921479,19,Нет
30,ФГБОУ ВО Новосибирский ГАУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский Государственный Аграрный Университет»,"630039, Новосибирская область, г Новосибирск, Октябрьский р-н, ул Добролюбова, д 160",5405115993,540501001,1025401932753,46,Нет
31,ГАОУ ВО ЛО «ЛГУ им.А.С.Пушкина»,Государственное автономное образовательное учреждение высшего образования ленинградской области «Ленинградский Государственный Университет Имени А.С.Пушкина»,"196605, г Санкт-Петербург, г Пушкин, Пушкинский р-н, Петербургское шоссе, д 10",7820019192,782001001,1024701897043,66,Нет
32,ФГБОУ ВО «КубГУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский Государственный Университет»,"350040, Краснодарский край, г Краснодар, ул Ставропольская, д 149",2312038420,231201001,1022301972516,25,Нет
33,Восточно-сибирский филиал РГУП (Г. Иркутск),Восточно-сибирский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский Государственный Университет Правосудия» (г. Иркутск),"664074, Иркутская область, г Иркутск, Свердловский р-н, ул Ивана Франко, д 23А",7710324108,381243001,1037739536768,82,Да
34,ПА ФСБ РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Пограничная Академия Федеральной Службы Безопасности Российской Федерации»,"125040, г Москва, Беговой р-н, Ленинградский пр-кт, д 3 стр 1",7714034840,771401001,1037700183322,14,Нет
35,ФГБОУ ВО Тверская ГСХА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверская Государственная Сельскохозяйственная Академия»,"170904, Тверская область, г Тверь, ул Маршала Василевского (Сахарово), д 7",6902016151,695201001,1026900585843,68,Нет
36,Санкт-Петербургская Академия Художеств,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургская Академия Художеств Имени Ильи Репина»,"199034, г Санкт-Петербург, Василеостровский р-н, Университетская наб, д 17 литера и",7801023965,780101001,1037800021225,66,Нет
37,УИГПС МЧС России,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский Институт Государственной Противопожарной Службы Министерства Российской Федерации По Делам Гражданской Обороны, Чрезвычайным Ситуациям И Ликвидации Последствий Стихийных Бедствий»","620062, Свердловская область, г Екатеринбург, Кировский р-н, ул Мира, стр 22",6670096267,667001001,1057747900143,37,Нет
38,МАРХИ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский Архитектурный Институт (государственная Академия)»,"107031, г Москва, Мещанский р-н, ул Рождественка, д 11/4 к 1 стр 4",7702066990,770201001,1027700471039,14,Нет
39,Алтайский Государственный Институт Культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский Государственный Институт Культуры»,"656055, Алтайский край, г Барнаул, Ленинский р-н, ул Юрина, д 277",2223010768,222301001,1022201379980,15,Нет
40,ФГБОУ ВО УИ ГА,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский Институт Гражданской Авиации Имени Главного Маршала Авиации Б.П. Бугаева»,"432071, Ульяновская область, г Ульяновск, Ленинский р-н, ул Можайского, д 8/8",7303002000,732501001,1027301176627,84,Нет
41,ОАНО ВО «ВУИТ»,Образовательная автономная некоммерческая организация высшего образования «Волжский Университет Имени В.Н. Татищева» (институт),"445020, Самарская область, г Тольятти, Центральный р-н, ул Ленинградская, влд 16",6323033283,632401001,1026302005014,11,Нет
42,ФГБОУ ВО СПБГУ ГА им. А.А. Новикова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургский Государственный Университет Гражданской Авиации Имени Главного Маршала Авиации А.А. Новикова»,"196210, г Санкт-Петербург, Московский р-н, ул Пилотов, д 38",7810251630,781001001,1037821044150,66,Нет
43,ФГБОУ ВО «Академия ГПС МЧС России»,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Государственной Противопожарной Службы Министерства Российской Федерации По Делам Гражданской Обороны, Чрезвычайным Ситуациям И Ликвидации Последствий Стихийных Бедствий»","129366, г Москва, Алексеевский р-н, ул Бориса Галушкина, д 4",7717035419,771701001,1027739451684,14,Нет
44,ЧОУ ВО «ИСГЗ»,Частное образовательное учреждение высшего образования «Институт Социальных И Гуманитарных Знаний»,"420111, Республика Татарстан, г Казань, Вахитовский р-н, ул Профсоюзная, д 13/16",1653003129,165501001,1021602829874,23,Нет
45,ЧОУ ВО «Камский Институт»,Частное образовательное учреждение высшего образования «Камский Институт»,"423818, Республика Татарстан, г Набережные Челны, пр-кт Мира, д 76",1646010580,165001001,1021606958988,23,Нет
46,ФГАОУ ВО ГУАП,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-петербургский Государственный Университет Аэрокосмического Приборостроения»,"190121, г Санкт-Петербург, Адмиралтейский р-н, ул Большая Морская, д 67 литера а",7812003110,783801001,1027810232680,66,Нет
47,Ростовская Государственная Консерватория им. С. В. Рахманинова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ростовская Государственная Консерватория Им. С. В. Рахманинова»,"344002, РОСТОВСКАЯ ОБЛАСТЬ, Г.О. ГОРОД РОСТОВ-НА-ДОНУ, Г РОСТОВ-НА-ДОНУ, ПР-КТ БУДЕННОВСКИЙ, Д. 23",6164028535,616401001,1026103286340,1,Нет
48,ФГБОУ ВО Красгму им. Проф. В.Ф. Войно-Ясенецкого Минздрава России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский Государственный Медицинский Университет Имени Профессора В.Ф. Войно-ясенецкого» министерства здравоохранения российской федерации,"660022, Красноярский край, г Красноярск, Советский р-н, ул Партизана Железняка, зд 1",2465015109,246501001,1022402471992,61,Нет
49,Военная Академия РВСН имени Петра Великого,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Ракетных Войск Стратегического Назначения Имени Петра Великого» министерства обороны российской федерации,"143900, Московская область, г Балашиха, ул Карбышева, д 8",7705051127,500101001,1027700508373,85,Нет
50,ГАОУ ВО МГУСИТ,Государственное автономное образовательное учреждение высшего образования города москвы «Московский Государственный Университет Спорта И Туризма»,"117519, г Москва, Чертаново Южное р-н, ул Кировоградская, д 21 к 1",7712037162,772601001,1027739299697,14,Нет
51,МОАУ ВО «Воронежский Институт Экономики и Социального Управления»,Муниципальное образовательное автономное учреждение высшего образования «Воронежский Институт Экономики И Социального Управления»,"394036, Воронежская область, г Воронеж, ул Помяловского, д 27",3666077146,366601001,1033600030771,18,Нет
52,ГАОУ ВО «Невинномысский Государственный Гуманитарно-Технический Институт»,Государственное автономное образовательное учреждение высшего образования «Невинномысский Государственный Гуманитарно-технический Институт»,"357108, Ставропольский край, г Невинномысск, б-р Мира, д 17",2631019060,263101001,1022603624383,48,Нет
53,ФГБОУ ВО «СГУС»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский Государственный Университет Спорта»,"214018, Смоленская область, г Смоленск, пр-кт Гагарина, д 23",6731011390,673101001,1026701439720,34,Нет
54,ФГБОУ ВО «Липецкий Государственный Технический Университет»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Липецкий Государственный Технический Университет»,"398070, Липецкая область, г Липецк, Советский округ, ул Московская, д 30",4826012416,482601001,1024840843631,12,Нет
55,Казанский Государственный Институт Культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский Государственный Институт Культуры»,"420064, Республика Татарстан, г Казань, Приволжский р-н, ул Оренбургский Тракт, д 3",1659017872,165901001,1021603477411,23,Нет
56,ФГБОУ ВО «ТулГУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тульский Государственный Университет»,"300012, Тульская область, г Тула, Советский р-н, пр-кт Ленина, д 92",7106003011,710601001,1027100753360,45,Нет
57,НОЧУ ВО «Кубанский Медицинский Институт»,Некоммерческое образовательное частное учреждение высшего образования «Кубанский Медицинский Институт»,"350064, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. КРАСНАЯ/ЛЕНИНА, Д.52-56/44",2309055143,231001001,1022301979534,25,Нет
58,СПбГУТ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургский Государственный Университет Телекоммуникаций Им. Проф. М.А. Бонч-бруевича»,"191186, г Санкт-Петербург, Центральный р-н, наб Реки Мойки, д 61 литера а",7808004760,784001001,1027809197635,66,Нет
59,ФГКОУ ХПИ ФСБ России,Федеральное государственное казенное образовательное учреждение высшего образования «Хабаровский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,"680022, Хабаровский край, г Хабаровск, ул Большая, д 85",2724021471,272401001,1022701290710,36,Нет
60,АНООВО «ПССИ»,Автономная некоммерческая образовательная организация высшего образования «Подольский Социально-спортивный Институт»,"142116, МОСКОВСКАЯ ОБЛАСТЬ, Г.О. ПОДОЛЬСК, Г ПОДОЛЬСК, УЛ ХАЛАТОВА, Д. 3, ЛИТЕРА/ЭТАЖ/ПОМЕЩ./КОМ. А/1/1/36",5036171697,503601001,1185000002406,85,Нет
61,Самарский Государственный Институт Культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Самарский Государственный Институт Культуры»,"443010, Самарская область, г Самара, Ленинский р-н, ул Фрунзе, д 167",6315800548,631501001,1026300966361,11,Нет
62,ФГБОУ ВО «УГТУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ухтинский Государственный Технический Университет»,"169300, Республика Коми, г Ухта, ул Первомайская, д 13",1102011331,110201001,1021100736326,33,Нет
63,ФГБОУ ВО «РГСУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский Государственный Социальный Университет»,"129226, г Москва, р-н Ростокино, ул Вильгельма Пика, д 4 стр 1",7718084994,771701001,1027700134879,14,Нет
64,ФГБОУ ВО «ГМУ ИМ. АДМ. Ф.Ф. УШАКОВА»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный Морской Университет Имени Адмирала Ф.Ф. Ушакова»,"353924, Краснодарский край, г Новороссийск, пр-кт Ленина, д 93",2315013840,231501001,1022302378670,25,Нет
65,ФГКОУ Капи ФСБ России,Федеральное государственное казенное образовательное учреждение высшего образования «Калининградский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,"236034, Калининградская область, г Калининград, Московский р-н, ул Подполковника Емельянова, д 244",3907015131,390601001,1023901653302,67,Нет
66,ГБОУ ВО ВИЭПП,"Государственное бюджетное образовательное учреждение высшего образования «Волжский Институт Экономики, Педагогики И Права»","404111, Волгоградская область, г Волжский, ул Советская, д 6",3435880613,343501001,1023402021500,76,Нет
67,ФГКОУ КПИ ФСБ России,Федеральное государственное казенное образовательное учреждение высшего образования «Курганский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,"640002, Курганская область, г Курган",4501042062,450101001,1034500008795,78,Нет
68,ФГБОУ ВО «Томский Государственный Архитектурно-Строительный Университет»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский Государственный Архитектурно-строительный Университет»,"634003, Томская область, г Томск, Соляная пл, д 2",7020000080,701701001,1027000882886,56,Нет
69,Высшее Театральное Училище (Институт) им.М.С.Щепкина,Федеральное государственное бюджетное образовательное учреждение высшего образования «Высшее Театральное Училище (институт) Им.М.С.Щепкина При Государственном Академическом Малом Театре России»,"109012, Г.МОСКВА, УЛ. НЕГЛИННАЯ, Д.6/2, СТР.1;2",7702060613,770201001,1027700456013,14,Нет
70,Краснодарский университет Министерства внутренних дел Российской Федерации,Федеральное государственное казенное образовательное учреждение высшего образования «Краснодарский Университет Министерства Внутренних Дел Российской Федерации»,"350005, Краснодарский край, г Краснодар, ул Ярославская, д 128",2311092752,231101001,1062311050042,25,Нет
71,КГУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Костромской Государственный Университет»,"156005, Костромская область, г Кострома, ул Дзержинского, д 17/11",4401006286,440101001,1024400529504,10,Нет
72,ФГБОУ ВО «ГГУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Гжельский Государственный Университет»,"140155, Московская область, г Раменское, поселок Электроизолятор, д 67",5040036468,504001001,1025005117213,85,Нет
73,ФГБОУ ВО ЧГМА МИНЗДРАВА РОССИИ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Читинская Государственная Медицинская Академия» министерства здравоохранения российской федерации,"672000, Забайкальский край, г Чита, ул Горького, д 39А",7536010483,753601001,1027501147960,81,Нет
74,ФГАОУ ВО «ОМГУ ИМ. Ф.М. ДОСТОЕВСКОГО»,Федеральное государственное автономное образовательное учреждение высшего образования «Омский Государственный Университет Им. Ф.М. Достоевского»,"644077, Омская область, г Омск, Советский округ, пр-кт Мира, д 55А",5501003925,550101001,1025500532947,24,Нет
75,ФГБОУ ВО «ЧГАФКИС»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чайковская Государственная Академия Физической Культуры И Спорта»,"617764, Пермский край, г Чайковский, ул Ленина, д 67",5920005457,592001001,1025902030868,63,Нет
76,ФГБОУ ВО «ВГТУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский Государственный Технический Университет»,"394006, Воронежская область, г Воронеж, ул 20-летия Октября, д 84",3662020886,366401001,1033600070448,18,Нет
77,ФГБОУ ВО «КНИТУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский Национальный Исследовательский Технологический Университет»,"420015, Республика Татарстан, г Казань, Вахитовский р-н, ул Карла Маркса, д 68",1655018804,165501001,1021602854965,23,Нет
78,ФГБОУ ВО «ИрНИТУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский Национальный Исследовательский Технический Университет»,"664074, Иркутская область, г Иркутск, Свердловский р-н, ул Лермонтова, д 83",3812014066,381201001,1023801756120,82,Нет
79,ФГБОУ ВО «Российский Университет Медицины» Минздрава России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский Университет Медицины» министерства здравоохранения российской федерации,"127006, г Москва, Тверской р-н, ул Долгоруковская, д 4",7707082145,770701001,1027739808898,14,Нет
80,ФГБОУ ВО Твгту,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверской Государственный Технический Университет»,"170026, Тверская область, г Тверь, наб Афанасия Никитина, д 22",6902010135,695201001,1026900533747,68,Нет
81,Курский ГАУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Курский Государственный Аграрный Университет Имени И.И. Иванова»,"305021, Курская область, г Курск, Центральный округ, ул Карла Маркса, зд 70",4629029121,463201001,1034637005292,83,Нет
82,ФГБОУ ВО «Верхневолжский ГАУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Верхневолжский Государственный Агробиотехнологический Университет»,"153012, Ивановская область, г Иваново, ул Советская, д 45",3728012857,370201001,1033700052858,51,Нет
83,ФГБОУ ВО «ПВГУС»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Поволжский Государственный Университет Сервиса»,"445017, Самарская область, г Тольятти, Центральный р-н, ул Гагарина, влд 4",6323068825,632401001,1036300992067,11,Нет
84,ФГБОУ ВО «Амгпгу»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский Гуманитарно-педагогический Государственный Университет»,"681000, Хабаровский край, г Комсомольск-на-Амуре, ул Кирова, д 17 к 2",2727000776,270301001,1022700514737,36,Нет
85,ЧОУ ВО «КИИД»,Частное образовательное учреждение высшего образования «Камский Институт Искусств И Дизайна»,"423826, Республика Татарстан, г Набережные Челны, пр-кт Чулман, д 112",1650098690,165001001,1031616014792,23,Нет
86,ОЧУВО «Международный Инновационный Университет»,Образовательное частное учреждение высшего образования «Международный Инновационный Университет»,"354000, Краснодарский край, г Сочи, Центральный р-н, ул Орджоникидзе, д 10А",2320074862,232001001,1022302921080,25,Нет
87,ФГБОУ ВО «Ургпу»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский Государственный Педагогический Университет»,"620091, Свердловская область, г Екатеринбург, Орджоникидзевский р-н, пр-кт Космонавтов, стр 26",6663009200,668601001,1036604787603,37,Нет
