id вуза,Образовательное учреждение,Регион вуза,Всего студентов,Качественных студентов
5186,Религиозная организация - учреждение профессионального религиозного образования Высшее Древлеправославное Духовное училище Русской Древлеправославной Церкви,Брянская область,117,5
5310,«Дальневосточное мореходное училище» (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Дальневосточный государственный технический рыбохозяйственный университет»,Приморский край,2056,61
5325,Печорское речное училище - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»,Республика Коми,204,2
5362,федеральное государственное бюджетное учреждение «Государственный научно-исследовательский институт генетики и селекции промышленных микроорганизмов Национального исследовательского центра Курчатовский институт,г. Москва,2,1
5369,Федеральное государственное унитарное предприятие «Научно-исследовательский технологический институт имени А. П. Александрова»,Ленинградская область,120,6
5388,Филиал АНО ВО «Международный институт менеджмента ЛИНК» в г. Москве,г. Москва,17,5
5424,федеральное государственное казенное военное образовательное учреждение высшего образования «Рязанское гвардейское высшее воздушно-десантное ордена Суворова дважды Краснознаменное командное училище имени генерала армии В.Ф.Маргелова» Министерства обороны Российской Федерации,Рязанская область,109,0
5509,федеральное казенное учреждение «Войсковая часть 21247»,г. Москва,1,0
5531,"федеральное государственное казенное военное образовательное учреждение высшего образования Московское высшее общевойсковое командное орденов Жукова, Ленина и Октябрьской Революции Краснознаменное училище Министерства обороны Российской Федерации",г. Москва,14,2
5562,муниципальное бюджетное образовательное учреждение высшего образования городского округа Тольятти «Тольяттинская консерватория»,Самарская область,69,0
6564,Томский экономико-юридический институт,Томская область,132,9
7338,гбпоу сксс,Республика Башкортостан,1,0
9560,Международный восточно-еврапейский университет,Удмуртская Республика,97,4
10178,МУЦА,Московская область,44,3
11611,АНОО ПО академия милиции,Ленинградская область,1,0
13699,Волгоградский медецинский филиал,Волгоградская область,1,0
13854,Магнитогорск  Государственный Технический Университет им. Г. И. Носова,Челябинская область,1,0
13902,Казанский кооперативный институт,Республика Татарстан,1,0
13911,Сибирский государственный университет физической культуры и спорта,Омская область,1,1
13921,"Международный центр консалтинга и образования ""Велес""",Ростовская область,1,1
13931,Иаис волгту,Волгоградская область,1,0
13940,МГТУ им. Носова,Челябинская область,1,0
13948,ВолгГТУ,Волгоградская область,1,0
13957,СКФУ,Ставропольский край,1,0
13959,ЛГТУ,Липецкая область,1,0
14009,СевГУ,Республика Крым,1,0
14051,Г. Георгиевск гтмау,Ставропольский край,1,0
14062,Волгоградский государственный технический университет институт архитектуры и строительства,Волгоградская область,1,0
14063,Институт архитектуры и строительства Волггту,Волгоградская область,1,0
14085,ЕЭТК,Свердловская область,1,0
14105,Институт общественных наук и международных отношений Севастопольского государственного университета,Республика Крым,1,0
14124,Великоустюгский многопрофильный колндж,г. Москва,1,0
14126,ЗАМТ,Нижегородская область,1,0
14134,ЗАПК,Республика Башкортостан,1,0
14135,Тктис,Тверская область,1,0
14165,Саратовский институт РГТЭУ,Саратовская область,1,0
14173,Огкуипт,Омская область,1,0
14195,Вуз ГГПИ,Удмуртская Республика,1,0
14208,Аккатт,Ростовская область,1,0
14244,ОКОТСиТ,Омская область,1,0
14252,Нет,Самарская область,1,0
14258,Бтпит,Воронежская область,1,0
14267,ОГКУИПТ,Омская область,1,0
14316,ККТиС,Ленинградская область,1,0
14327,КпИАс,Кировская область,1,0
14384,ОАТ,Курская область,1,0
14396,МЧС,г. Москва,1,0
14399,УАТК,Республика Башкортостан,1,0
14405,Государственное Профессиональное Образовательное Учреждение Беловский Педагогический 3,Кемеровская область,1,0
14419,НТОТ,Нижегородская область,1,1
14432,"ОГА ПОУ ""ААТ""",Белгородская область,1,0
14471,Абмк,Астраханская область,1,0
14498,Брянское ГУОР,Брянская область,1,0
14499,РБМК АФ,Ростовская область,1,0
14505,кбттк,Кабардино-Балкарская Республика,1,0
14509,Технологический университет,Московская область,1,0
14520,Курсы,г. Санкт-Петербург,1,0
14566,ЮТМиИТ,Кемеровская область,1,0
14592,Красномайский,Тверская область,1,0
14593,Нет,Тульская область,1,0
14603,Огтк,Кемеровская область,1,0
14607,Фтк Сгау им. Вавилова,Саратовская область,1,0
14634,ККНХиПО,Калужская область,1,0
14636,КИПТСУ,Томская область,1,0
14662,ФГАОУ ВО СКФУ Юридический факультет,Ставропольский край,1,0
14664,АТпромИС,Томская область,1,0
14710,КПППК,Пермский край,1,0
14736,ОПК СТИ НИТУ МИСсИ,Белгородская область,1,0
14744,ВПК Александровский,Ленинградская область,1,0
14752,СПБГИК,г. Санкт-Петербург,1,0
14761,ЯТЭК ПК,Республика Саха (Якутия),1,0
14820,Филиал ДГУ в г. Махачкале,Республика Дагестан,1,0
14822,Федеральный научный центр Садоводства,г. Москва,1,0
14895,ЕПТТ,Свердловская область,1,0
14902,НМБК,Нижегородская область,1,0
14906,ВСАМТ,Свердловская область,1,0
14923,СРКВТиЭ,Ставропольский край,1,0
14935,МВД. Россия,г. Москва,1,0
14949,Фтскс рк,Республика Крым,1,0
14955,"БПОУ УР ""ИАТ""",Удмуртская Республика,1,0
14957,ЧПОУ СРШ Анны муратовой,Омская область,1,0
14966,Тмтт,Томская область,1,0
14981,Арзамасский филиал ННГУ им. Н.И. Лобачевского.,Нижегородская область,1,0
15034,БРИТ,Республика Бурятия,1,0
15062,"КГА ПОУ ""ППК""",Приморский край,1,0
15067,ПК БГТУ,Брянская область,1,0
15070,СкФу,Ставропольский край,1,0
15083,Не учусь,Челябинская область,1,0
15088,Севастопольский институт ядерной энергии и промышленности,Республика Крым,1,0
15104,Севгу,Республика Крым,1,0
15107,Кримт,Красноярский край,1,0
15124,Институт авиационных технологий и управления,Ульяновская область,1,0
15135,Магнитогорский Государственный Технический Институт Строительства Архитектуры и Искусства,Челябинская область,1,0
15152,Пу 60,Иркутская область,1,0
15158,"АПОУ ""ТСТ""",Удмуртская Республика,1,0
15222,НКИИТ,Ямало-Ненецкий автономный округ,1,0
15228,МСК Момото,Мурманская область,1,0
15241,Х,Хабаровский край,1,0
15280,ИСЛ 116,г. Санкт-Петербург,1,0
15281,СевГУ,Республика Крым,1,0
15286,никакого,Республика Марий Эл,1,0
15290,Саск,Саратовская область,1,0
15295,БФ НОККиИ,Новосибирская область,1,0
15320,Эркен-Шахар,Карачаево-Черкесская Республика,1,0
15349,НГХУ,Новосибирская область,1,0
15358,Лмск,Липецкая область,1,0
15390,(ЯМК) г. Лабытнанги,Ямало-Ненецкий автономный округ,1,0
15395,"БПОУ ""МК""",Омская область,1,0
15423,Сксс,Республика Башкортостан,1,0
15446,КузПк,Кемеровская область,1,0
15463,СПТК Имени Геловани,г. Севастополь,1,0
15465,ОВСХК,Кировская область,1,0
15472,БПОУ ОБМК медсестринского отделения,Орловская область,1,0
15492,ДВГГТК,Приморский край,1,0
15524,КБМК,Курганская область,1,0
15544,СибГАУ им. М.Ф.Решетнева г.Красноярск,Красноярский край,1,0
15572,ГБУ КО ПОО,Калининградская область,1,0
15584,ФГКОУ СКК МВД России,Самарская область,1,0
15602,Сибирский государственный университет физической культуры и спорта,Омская область,1,0
15613,Атпромис,Томская область,1,0
15618,СОМК,Свердловская область,1,0
15643,ВТЖТиК,Волгоградская область,1,0
15673,Нижнеломовский филиал НФПГУ,Пензенская область,1,0
15696,Вкрст,Волгоградская область,1,0
15698,"ЧУПО ""СПК""",г. Москва,1,0
15715,ЛГТУ,Липецкая область,1,0
15721,СПТУ,Оренбургская область,1,0
15756,Свечинский филиал,Кировская область,1,0
15788,ВТЖТ ФИЛИАЛ РГУПС,Волгоградская область,1,0
15797,ТЭТК,Самарская область,1,0
15805,Работа,Ставропольский край,1,0
15810,сельхозакадемия,Кировская область,1,0
15837,БМТ,Краснодарский край,1,0
15849,КамСК им.Батенчука,Республика Татарстан,1,0
15864,Ватт ккк,Челябинская область,1,0
15890,Нету,г. Москва,1,0
15910,КТИНЗ,Республика Бурятия,1,0
15916,Дагестанский Государственный Университ г.Махачкала,Республика Дагестан,1,0
15954,МкПгу,Пензенская область,1,0
15979,Отчислен ы,г. Москва,1,0
15990,Уфимский топливно-энергетический филиал АФ УТЭК,Республика Башкортостан,1,0
15999,Огптоу саровского уч,Рязанская область,1,0
16003,ЮЭТ,Челябинская область,1,0
16058,Томский экономико юридический,Томская область,1,0
16063,Ркрипт,Ростовская область,1,0
16080,КТОТиСХ,Красноярский край,1,0
16147,Государственный университет имени Решетнёва,Красноярский край,1,0
16152,КНХК им В.П.Лушникова,Республика Татарстан,1,0
16160,СГПК,Ставропольский край,1,0
16162,Институт ядерной энергии и промышленности,Республика Крым,1,0
16253,БППК,Брянская область,1,0
16279,ТМТ,Тюменская область,1,0
16280,УГК им.И.И. Ползунова Кировоград,Свердловская область,1,0
16293,Институт ядерной энергии и промышленности,г. Севастополь,1,0
16308,БрПК 45,Иркутская область,1,0
16330,У меня нет института,Московская область,1,0
16332,КМК им .И.В.Аухадеева,Республика Татарстан,1,0
16365,ПУ50,Волгоградская область,1,0
16368,рпе,Томская область,1,0
16397,Сфера,Челябинская область,1,0
16456,ПУ №17 ТТКР,Краснодарский край,1,0
16480,Кист,Краснодарский край,1,0
16482,СевГУ,г. Севастополь,1,1
16489,ЧТПТиУ,Пермский край,1,0
16561,НЦПО 18,Новосибирская область,1,0
16563,АСХКА,Ставропольский край,1,0
16587,ВПТ Корпус 4,Волгоградская область,1,0
16589,НСПК,Краснодарский край,1,0
16597,Щигровсий филиал ОБПОУ КБМК,Курская область,1,0
16652,ЛПТ,Липецкая область,1,0
16654,Меня отчислили из за неоплаты учёбы,Республика Дагестан,1,0
16686,ВТЖТиК,Волгоградская область,1,0
16712,Казанский Федеральный Университет (ИУЭФ),Республика Татарстан,1,0
16740,Нпт,Оренбургская область,1,0
16743,Ягк,Ярославская область,1,0
16753,СевГУ,г. Севастополь,1,0
16758,НСК,Ханты-Мансийский автономный округ,1,0
16785,БПК,Амурская область,1,0
16814,СКВТСиС,Саратовская область,1,0
16868,ЧУ ПО ЮПК Карельский филиал,Республика Карелия,1,0
16871,Профисионально техническое учереждение 244,Свердловская область,1,0
16883,КОГПОБУ КМПТ,Кировская область,1,0
16895,ЕЖТЭиС,Липецкая область,1,0
16897,Черногорский техниккум торговли и сервиск,Республика Хакасия,1,0
16904,КТЭТ,Республика Татарстан,1,0
16906,Вгкуинт,Волгоградская область,1,0
16907,МОМК №2,Московская область,1,0
16923,УГК ИМЕНИ И.И. ПОЛЗУНОВА,Свердловская область,1,0
16935,МГЭУ нижнекамский филиал,Республика Татарстан,1,0
16938,Метрострой,Ленинградская область,1,0
16962,Комитент,Челябинская область,1,0
16964,Кппт,Свердловская область,1,0
16965,Чгк,Самарская область,1,0
16977,ВЭТК,Волгоградская область,1,0
16992,Иксу,Ивановская область,1,0
16996,Увинский,Удмуртская Республика,1,0
17005,Чмтт,Челябинская область,1,0
17021,КИУ нижнекамский,Республика Татарстан,1,0
17066,СПб ГБ поу эк,г. Санкт-Петербург,1,0
17089,Сахалинский техемкум,Сахалинская область,1,0
17097,МГУ им. М.В. Ломоносова,Московская область,1,0
17099,ППГК,Владимирская область,1,0
17100,АНПОО «Кубанский ИПО»,Краснодарский край,1,0
17128,Смоленская академия профессионального образования,Смоленская область,1,0
17133,КГА ПОУ ГАСКК МЦК,Хабаровский край,1,0
17150,Крупинское ОСП #69,Московская область,1,0
17171,Эконом,г. Москва,1,0
17174,ХАДТ,Хабаровский край,1,0
17183,НКПиИТ,Ямало-Ненецкий автономный округ,1,0
17190,Чгпгт им А.В Яковлева,Челябинская область,1,0
17231,Оатт,Ростовская область,1,0
17254,БТЖТиС,Ростовская область,1,0
17261,ГБ ПОУ МАПТ,Республика Северная Осетия — Алания,1,0
17269,БРИЭТ,Республика Бурятия,1,0
17278,СТЖТиП,Республика Крым,1,0
17285,Пск,Камчатский край,1,0
17292,Пермский Торгово-технический колдж (ПТТК),Пермский край,1,0
17303,БКТИС ТАРБАГАТАЙСКОГО Р-на,Республика Бурятия,1,0
17332,ВПТ,Воронежская область,1,0
17344,БПОУР ВПТ,Удмуртская Республика,1,0
17347,НТКП,Новосибирская область,1,0
17349,Пк энергия электроугли,Московская область,1,0
17357,НАТК,Новосибирская область,1,0
17372,Гтт,Краснодарский край,1,0
17406,П У 5,Республика Северная Осетия — Алания,1,0
17415,Московсковие,Московская область,1,0
17419,Ооо,г. Москва,1,0
17471,Линевскй центр профессионального обучения,Новосибирская область,1,0
17475,Балтийская государственная академия,Калининградская область,1,0
17488,не учусь,Красноярский край,1,0
17495,ЛГТУ,Липецкая область,1,0
17551,Пктим,Саратовская область,1,0
17572,ЛГТУ,Липецкая область,1,1
17605,СИЭК КГБ ПОУ,Приморский край,1,0
17610,РКЭ,Рязанская область,1,0
17617,ЕТОТС,Свердловская область,1,0
17631,ЧТТПиК,Чувашская Республика,1,0
17705,67фазан,Свердловская область,1,0
17708,Кмак,Смоленская область,1,0
17712,лгту,Липецкая область,1,0
17718,КИГМ 23,г. Москва,1,0
17722,Нмиц им В. А. Алмазова,г. Санкт-Петербург,1,0
17742,ПЛ 20,Республика Башкортостан,1,0
17747,НМИЦ им. Алмазова,г. Санкт-Петербург,1,0
17769,А,г. Москва,1,0
17782,ПТУ 22,Московская область,1,0
17796,ТМедК,Самарская область,1,0
17820,ГБПО НСМК,Новосибирская область,1,0
17822,ВКА им А.Ф.Можайского,г. Санкт-Петербург,1,0
17844,Я не учусь в университете.,Чеченская Республика,1,0
17853,Череповецкий металлургический,Вологодская область,1,0
17872,Университет ИТМО,Ленинградская область,1,0
17879,НТГиХ,Нижегородская область,1,0
17919,ГКОУ КШИ 1,г. Москва,1,0
17948,"ИМО ФГБУ ""НМИЦ им.В.А.Алмазова"" Минздрава РФ",г. Санкт-Петербург,1,0
17991,Мппк,Курганская область,1,0
17997,Екатеринбург,Республика Башкортостан,1,0
18059,СОАК,Свердловская область,1,1
18062,4 бурса,Белгородская область,1,0
18076,БУ ПО ЮПК,Ханты-Мансийский автономный округ,1,0
18092,НПТ,Нижегородская область,1,0
18113,Ангарский промышленно-экономический,Иркутская область,1,0
18118,НЭМК,Новосибирская область,1,0
18122,Псковский Политехнический 2 отделение,Псковская область,1,0
18128,СКЭД,Ставропольский край,1,0
18135,не учусь,Волгоградская область,1,0
18142,Птпт,Калининградская область,1,0
18144,ЮПигк,Владимирская область,1,0
18159,ГФ НИТУ МИСиС,Белгородская область,1,0
18187,Армия,Республика Марий Эл,1,0
18192,НТТМПС,Свердловская область,1,0
18199,Пхтт,Пермский край,1,0
18224,КемТИПиСУ,Кемеровская область,1,0
18230,ЯГПУ им. К.Д.Ушинского,Ярославская область,1,0
18253,КСК,Республика Татарстан,1,0
18267,Уральский региональный,Челябинская область,1,0
18284,Нэт,Ставропольский край,1,0
18301,огк,Оренбургская область,1,0
18306,Не учусь,г. Санкт-Петербург,1,0
18322,ААТТ,Краснодарский край,1,0
18331,КУПК,Свердловская область,1,1
18337,БГТК,Республика Башкортостан,1,0
18356,ПУ номер 85 Ростовской области Целинского района село Средний Егорлык,Ростовская область,1,0
18370,ЭМТТ,Саратовская область,1,0
18395,Новороссийский филиал мгэу,Краснодарский край,1,0
18402,Северо-Кавказский Федеральный Университет. Юридический институт,г. Севастополь,1,0
18409,ЛГТУ,Липецкая область,1,0
18419,ОКГ СТОЛИЦА,г. Москва,1,0
18430,КИПТСУ,Томская область,1,0
18434,ИТАС,Иркутская область,1,0
18443,ИКЭСТ,Иркутская область,1,0
18447,МГМСУ им. Евдокимова,г. Москва,1,0
18449,нижнетагильский железнодорожный технекум,Свердловская область,1,0
18452,"ОБПОУ ""КГТТС""",Курская область,1,0
18509,Тарский Индустриальный Педагогическог,Омская область,1,0
18518,БКСМ и ПП,г. Москва,1,0
18524,Крымский федеральный университет им. Вернадского,Краснодарский край,1,0
18532,Тюмгу,Тюменская область,1,0
18533,1МОК,г. Москва,1,0
18545,АЮТ,Краснодарский край,1,0
18553,Сокольский СЛПТ,Вологодская область,1,0
18555,Нвгу,Ханты-Мансийский автономный округ,1,0
18586,ЕАДК,Свердловская область,1,0
18623,Сам по себе,Республика Крым,1,0
18625,КОМК,Калужская область,1,0
18643,Ссхт,Краснодарский край,1,0
18649,Коми-Пермяций,Пермский край,1,0
18690,КАТК,Курская область,1,0
18753,Агротехнический,Ростовская область,1,0
18778,КГБ ПОУ ХТЭТ,Хабаровский край,1,0
18787,КФ УРТК им. А. С. Попова,Свердловская область,1,0
18799,БРМТИТ,Республика Бурятия,1,0
18809,БППК,Брянская область,1,0
18827,Клинцовский филлиал БТЭиР,Брянская область,1,0
18832,СКЧТиК,Ставропольский край,1,0
18835,Нету,Кировская область,1,0
18846,ШРКТЭ,Ростовская область,1,0
18869,"Государственное Профессиональное Образовательное учреждение Ростовской Области ""СККПЛ""",Ростовская область,1,0
18877,АГПК,Астраханская область,1,0
18886,ГИПТ,Ставропольский край,1,0
18890,МГГТК АГУ,Республика Адыгея,1,0
18893,Тэк,Тульская область,1,0
18896,ФГБУ ПОО  ГУОР,Иркутская область,1,0
18908,Региональный железнодорожный колелдж,Приморский край,1,0
18913,СИХТ,Нижегородская область,1,0
18957,26 Кадр,г. Москва,1,0
18968,юэт,Челябинская область,1,0
18994,Спту,Республика Бурятия,1,0
18997,НРТК,Нижегородская область,1,0
19014,АКПТиБ,Алтайский край,1,0
19043,Куттс,Свердловская область,1,0
19114,тквт,Тюменская область,1,0
19119,:/,Калужская область,1,0
19131,УКГП,Республика Башкортостан,1,0
19150,МПК имени Носова,Челябинская область,1,0
19165,ккэт,Пензенская область,1,0
19166,СЭТ,Краснодарский край,1,0
19167,Тгтк,Тульская область,1,0
19194,Гипт,Ставропольский край,1,0
19197,Курочкино,Свердловская область,1,0
19207,ИвПэк,Ивановская область,1,0
19208,Институт развития бизнеса и стратегии,Саратовская область,1,0
19222,Уральский федеральный университет УПИ,Свердловская область,1,0
19232,1 мок,г. Москва,1,0
19244,КЭТ им Ф.В. Чижова,Костромская область,1,0
19279,.,Рязанская область,1,0
19303,ВОЛПТ,Волгоградская область,1,0
19320,Зждт,Иркутская область,1,0
19322,Пу,Республика Северная Осетия — Алания,1,0
19341,НКТТ им. Н.А.Лунина,Новосибирская область,1,1
19371,Фэк,Пермский край,1,0
19374,Абитуриент,Свердловская область,1,0
19392,Институт Ядерной Энергии и промышлености г. Севастополь,г. Севастополь,1,0
19409,НОУ СПО ЧЮК,Челябинская область,1,0
19423,СГПК им. И.А.Куратова,Республика Коми,1,0
19472,Губернаторский авиастроительный,Хабаровский край,1,0
19473,Казанский (Приволжский) Федеральный Университет,Республика Татарстан,1,1
19484,К,Челябинская область,1,0
19485,шкала 8,Костромская область,1,0
19491,Чи бгу нархоз,Забайкальский край,1,0
19536,КМК,Республика Татарстан,1,0
19546,Аксжкх,Амурская область,1,0
19550,КК ПСХК,Краснодарский край,1,0
19558,БПОУ КАТТ,Омская область,1,0
19585,ВИЭК,Архангельская область,1,0
19596,КТСТиГХ,Курганская область,1,1
19622,Филиал Усть заостровский СТ,Омская область,1,0
19643,"Государственное бюджетное профессиональное образовательное учреждение Краснодарского края ""Приморско-Ахтарский технимум индустрии и сервиса""",Краснодарский край,1,0
19671,академия современных технологий,Смоленская область,1,0
19678,ФВА РВСН им. Петра Великого,Московская область,1,0
19688,Ятэк,Ярославская область,1,0
19707,Не учусь,г. Москва,1,0
19709,впмт,Кировская область,1,0
19714,Современный университет,г. Москва,1,0
19717,Лесозаводский индустриальный коллндж,Приморский край,1,0
19722,АТК отделение 3,Амурская область,1,0
19726,Нигде,Тюменская область,1,0
19774,Гэтк,Новосибирская область,1,0
19779,Нет,Республика Татарстан,1,0
19784,КГПК,Курская область,1,0
19789,ГАПН,Республика Башкортостан,1,0
19797,АСПК,Кемеровская область,1,0
19819,ВолГТУ,Волгоградская область,1,1
19847,"""Пэк""",Мурманская область,1,0
19852,"""ПэК""",Мурманская область,1,0
19883,ИАиС ВолгГТУ,Волгоградская область,1,0
19909,КНИТУ(бывш. КХТИ),Республика Татарстан,1,0
19917,ПСК СПБ,г. Санкт-Петербург,1,0
19926,Мкаг,г. Москва,1,0
19950,Кмк,Кемеровская область,1,0
19971,ПТК НИИ,Красноярский край,1,0
19985,МК 5,г. Москва,1,0
20011,Златик,Челябинская область,1,0
20030,Санкт-Петербургский Академический университет им.Ж.И.Алферова,г. Санкт-Петербург,1,0
20031,Институт архитектуры и строительства ВолгГТУ,Волгоградская область,1,0
20083,КузТАГиС,Кемеровская область,1,0
20118,Институт традиционного прикладного искусства,г. Москва,1,0
20139,Фа,Иркутская область,1,0
20140,Спт,Свердловская область,1,0
20149,ВТК,Волгоградская область,1,0
20172,НТПТиС,Красноярский край,1,0
20197,СОХТТ,Саратовская область,1,0
20208,АМФЦПК,Амурская область,1,0
20217,Нтт,Республика Татарстан,1,0
20219,НПК 2,Новосибирская область,1,0
20236,Уппк,Ульяновская область,1,0
20246,КККАТК,Краснодарский край,1,0
20247,Подольскай Социально-спортивнй институт,Московская область,1,0
20271,ЛКТиДХ,Липецкая область,1,0
20287,Не полное среднее,Вологодская область,1,0
20290,ТБМК,Томская область,1,0
20309,СТСОиП,Свердловская область,1,0
20334,СПО ПТК ФГБОУ ВО НГИИ,Краснодарский край,1,0
20350,Комитент,Челябинская область,1,0
20376,Фк-35,г. Москва,1,0
20397,"КНУ, имени Ж. Баласагына",г. Москва,1,0
20424,Аксу,Краснодарский край,1,0
20453,НФ ПГУ,Краснодарский край,1,0
20485,-,Пермский край,1,1
20518,НМК,Новосибирская область,1,0
20525,ТЭП экономики и права МСПЕ,г. Москва,1,0
20539,ЧТПрИС,Иркутская область,1,0
20559,НТГПК им. Н. А. Демидова,Свердловская область,1,0
20576,КАТК,Республика Татарстан,1,0
20614,ВГПТК,Воронежская область,1,0
20639,ЛГТУ,Липецкая область,1,0
20669,Казанский радиомеханический,Республика Татарстан,1,0
20670,СМПК,Республика Башкортостан,1,1
20709,КНИТУ  КАИ КАЗАНЬ,Республика Татарстан,1,0
20736,Акст,Амурская область,1,0
20738,ЮТМиИТ,Кемеровская область,1,0
20779,нету,г. Москва,1,0
20786,Самарский медицинский университет,Самарская область,1,1
20796,ИНФИС,Краснодарский край,1,0
20818,ЮЗГУ,Курская область,1,0
20841,"ФГБОУ ВО ""Чайковский государственный институт физической культуры""",Пермский край,1,0
20843,Чайковский государственный институт физической культуры,Пермский край,1,0
20875,КПДИ,Республика Северная Осетия — Алания,1,0
20921,ХПЛ им Карла Фаберже,г. Санкт-Петербург,1,0
20927,НОУ ВПО Томский экономико-юридический институт,Томская область,1,0
20931,КОГПОАУ КТКПП,Кировская область,1,0
20942,СОМК,Свердловская область,1,0
20950,ЕПТТ им. В.М. Курочкина,Свердловская область,1,0
20980,"ФГБУ ""Национальный медицинский исследовательский центр В.А. Алмазова"" Минздрава России",г. Санкт-Петербург,1,0
20992,СГМУ им. В. И. Разумовского,Саратовская область,1,1
21003,РГППУ,Свердловская область,1,1
21011,Г.Карачаевск МОКСУ им.абрекова,Карачаево-Черкесская Республика,1,0
21020,Технарь,Ростовская область,1,0
21029,ИАиС  ВолГТУ,Волгоградская область,1,1
21034,ЧСПК Сфера,Челябинская область,1,0
21045,МК УрГУПС,Свердловская область,1,0
21052,"ЧПОУ ""СФЮК""",Краснодарский край,1,0
21071,ВМТ,Удмуртская Республика,1,0
21106,Автоматика,Свердловская область,1,0
21109,БПОУ УР УРСПК,Удмуртская Республика,1,0
21123,Академия промышленных технологий,г. Санкт-Петербург,1,0
21132,НВГУ,Ханты-Мансийский автономный округ,1,0
21143,БФ НКТТ им. Н. А. Лунина,г. Москва,1,0
21146,Ростовский железнодорожный техникут,Ростовская область,1,0
21157,Шушенский СХК,Красноярский край,1,0
21159,КрКТ,Красноярский край,1,0
21171,Апэк,Алтайский край,1,0
21191,ДОН-ТЕКС,Ростовская область,1,0
21196,ЛГТУ,Липецкая область,1,0
21198,МГСТ,Кемеровская область,1,0
21251,ГБУ города Москвы «Центр педагогического мастерства»,г. Москва,1,0
21264,Московский Государственный Университет Спорта и Туризма,г. Москва,1,0
21282,АПОУ РА ТОТ,Республика Алтай,1,0
21304,Я не учусь в россии,г. Москва,1,0
21306,БТЖТиС,Ростовская область,1,0
21308,НМБК,Нижегородская область,1,0
21310,Не учусь,Самарская область,1,0
21315,Шадринский филиал «КБМК»,Курганская область,1,0
21344,ВБМК Спаский фелиал,Приморский край,1,0
21367,РВСН Петра Великого,г. Москва,1,0
21370,Инфиз,Краснодарский край,1,0
21395,БТИ,Алтайский край,1,0
21418,ДВФУ,г. Москва,1,0
21435,недоучилась,Пензенская область,1,0
21436,Шарт,Белгородская область,1,0
21441,УО Мирский ГХПТК,г. Москва,1,0
21445,Чебоксарский медицинский колоедж,Чувашская Республика,1,0
21485,ТКТТС,Тюменская область,1,0
21487,ЧМТТ,Челябинская область,1,0
21507,Апоу ура гапт,Удмуртская Республика,1,0
21511,ЧПТК,Забайкальский край,1,0
21513,Минусинский филиал,Красноярский край,1,0
21518,"БПОУ УР ""РМТ""",Удмуртская Республика,1,0
21538,СКСтИК,Ставропольский край,1,0
21546,Университет имени Ленина,г. Москва,1,0
21570,Нет,Астраханская область,1,0
21585,ЯПК 21,Ярославская область,1,0
21587,Спэт,Сахалинская область,1,0
21591,ИРО,г. Севастополь,1,0
21599,НТГХиП,Нижегородская область,1,0
21608,Сельскохозяйственных университет Минусинск,Красноярский край,1,0
